index,label
2147,10
2148,42
2149,13
2150,32
2151,47
2152,26
2153,5
2154,33
2155,40
2156,11
2157,5
2158,30
2159,3
2160,46
2161,24
2162,4
2163,34
2164,33
2165,24
2166,41
2167,13
2168,24
2169,25
2170,38
2171,15
2172,34
2173,39
2174,16
2175,35
2176,1
2177,1
2178,42
2179,9
2180,17
2181,39
2182,29
2183,27
2184,19
2185,44
2186,49
2187,31
2188,49
2189,15
2190,9
2191,33
2192,49
2193,40
2194,10
2195,25
2196,9
2197,19
2198,19
2199,35
2200,18
2201,46
2202,22
2203,4
2204,9
2205,28
2206,17
2207,43
2208,49
2209,21
2210,48
2211,5
2212,2
2213,16
2214,3
2215,46
2216,42
2217,31
2218,31
2219,46
2220,4
2221,34
2222,24
2223,32
2224,5
2225,21
2226,8
2227,6
2228,27
2229,39
2230,6
2231,38
2232,10
2233,48
2234,4
2235,5
2236,21
2237,17
2238,41
2239,30
2240,24
2241,10
2242,30
2243,8
2244,33
2245,37
2246,21
2247,31
2248,6
2249,43
2250,3
2251,27
2252,15
2253,24
2254,21
2255,31
2256,40
2257,10
2258,41
2259,39
2260,9
2261,7
2262,5
2263,27
2264,2
2265,27
2266,17
2267,45
2268,1
2269,43
2270,32
2271,43
2272,14
2273,3
2274,3
2275,43
2276,26
2277,49
2278,36
2279,28
2280,13
2281,15
2282,33
2283,20
2284,4
2285,12
2286,17
2287,23
2288,16
2289,22
2290,18
2291,21
2292,27
2293,1
2294,37
2295,13
2296,24
2297,4
2298,40
2299,18
2300,46
2301,8
2302,21
2303,21
2304,29
2305,6
2306,40
2307,18
2308,34
2309,24
2310,9
2311,26
2312,2
2313,1
2314,21
2315,5
2316,38
2317,30
2318,47
2319,22
2320,35
2321,23
2322,11
2323,38
2324,12
2325,3
2326,6
2327,38
2328,12
2329,33
2330,6
2331,37
2332,13
2333,40
2334,32
2335,24
2336,29
2337,1
2338,40
2339,2
2340,35
2341,39
2342,19
2343,46
2344,6
2345,3
2346,36
2347,9
2348,8
2349,44
2350,16
2351,24
2352,46
2353,46
2354,15
2355,14
2356,6
2357,42
2358,17
2359,4
2360,5
2361,24
2362,11
2363,13
2364,2
2365,21
2366,5
2367,15
2368,47
2369,46
2370,6
2371,5
2372,6
2373,37
2374,23
2375,7
2376,31
2377,46
2378,1
2379,12
2380,7
2381,46
2382,46
2383,18
2384,25
2385,17
2386,39
2387,49
2388,43
2389,41
2390,10
2391,1
2392,7
2393,27
2394,4
2395,5
2396,46
2397,47
2398,18
2399,20
2400,16
2401,48
2402,19
2403,46
2404,32
2405,18
2406,17
2407,5
2408,21
2409,17
2410,41
2411,35
2412,38
2413,5
2414,5
2415,12
2416,11
2417,46
2418,12
2419,22
2420,29
2421,27
2422,49
2423,31
2424,26
2425,41
2426,42
2427,32
2428,15
2429,2
2430,11
2431,18
2432,16
2433,1
2434,19
2435,29
2436,1
2437,1
2438,33
2439,16
2440,42
2441,3
2442,9
2443,46
2444,47
2445,46
2446,32
2447,49
2448,5
2449,29
2450,15
2451,47
2452,2
2453,26
2454,33
2455,30
2456,18
2457,37
2458,20
2459,44
2460,1
2461,13
2462,17
2463,27
2464,17
2465,24
2466,19
2467,43
2468,40
2469,4
2470,35
2471,6
2472,25
2473,6
2474,19
2475,6
2476,47
2477,1
2478,13
2479,7
2480,29
2481,23
2482,43
2483,17
2484,18
2485,4
2486,36
2487,36
2488,17
2489,35
2490,17
2491,37
2492,6
2493,1
2494,43
2495,21
2496,36
2497,24
2498,6
2499,35
2500,2
2501,3
2502,22
2503,29
2504,39
2505,35
2506,6
2507,17
2508,14
2509,6
2510,40
2511,13
2512,23
2513,35
2514,13
2515,42
2516,26
2517,38
2518,34
2519,5
2520,4
2521,49
2522,17
2523,2
2524,48
2525,17
2526,15
2527,28
2528,1
2529,46
2530,18
2531,17
2532,36
2533,46
2534,40
2535,23
2536,1
2537,46
2538,12
2539,25
2540,1
2541,19
2542,24
2543,13
2544,9
2545,10
2546,19
2547,1
2548,13
2549,46
2550,19
2551,24
2552,24
2553,22
2554,6
2555,49
2556,1
2557,31
2558,17
2559,21
2560,7
2561,31
2562,18
2563,4
2564,16
2565,10
2566,32
2567,48
2568,13
2569,6
2570,17
2571,9
2572,47
2573,18
2574,47
2575,19
2576,6
2577,11
2578,3
2579,15
2580,15
2581,4
2582,17
2583,30
2584,10
2585,22
2586,16
2587,35
2588,1
2589,47
2590,6
2591,24
2592,24
2593,1
2594,8
2595,42
2596,32
2597,9
2598,37
2599,26
2600,41
2601,25
2602,15
2603,43
2604,16
2605,27
2606,1
2607,42
2608,22
2609,49
2610,16
2611,25
2612,7
2613,34
2614,33
2615,21
2616,33
2617,6
2618,9
2619,27
2620,4
2621,29
2622,5
2623,21
2624,7
2625,21
2626,12
2627,12
2628,27
2629,9
2630,39
